loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,revol_util,loan_status,grade,term,home_ownership
27614,24.4,79758,12.85,0,62.43,Charged Off,E, 60 months,RENT
29253,23.65,66057,33.16,3,59.76,Fully Paid,B, 60 months,RENT
18988,19.83,32537,24.0,1,87.34,Fully Paid,C, 36 months,MORTGAGE
32037,10.59,42419,31.86,1,19.14,Fully Paid,A, 36 months,RENT
13219,7.63,62578,39.58,2,41.23,Fully Paid,D, 36 months,RENT
1235,22.09,94991,27.33,3,58.44,Fully Paid,D, 60 months,MORTGAGE
2908,8.31,141211,39.41,3,83.02,Fully Paid,B, 60 months,RENT
9567,22.09,142762,1.64,3,29.48,Charged Off,D, 36 months,OWN
6256,14.82,94599,13.86,1,82.26,Charged Off,G, 60 months,MORTGAGE
20019,13.13,20834,4.76,3,45.97,Fully Paid,B, 36 months,OWN
9162,23.06,52214,10.86,0,27.0,Fully Paid,A, 36 months,OWN
6415,17.08,112934,33.64,4,78.31,Fully Paid,B, 36 months,OWN
6951,16.53,143798,1.78,3,18.18,Charged Off,D, 60 months,OWN
22852,16.18,120028,21.05,4,56.33,Fully Paid,B, 36 months,RENT
9007,12.42,141286,22.9,1,15.75,Fully Paid,D, 60 months,RENT
31523,20.71,22413,22.67,3,42.08,Charged Off,F, 36 months,MORTGAGE
24325,10.06,29505,19.27,2,64.1,Fully Paid,E, 60 months,MORTGAGE
22204,23.78,140681,31.73,1,60.05,Fully Paid,D, 60 months,OWN
16524,22.88,122802,5.77,0,46.42,Charged Off,G, 36 months,OWN
20282,11.75,22105,12.77,0,48.61,Charged Off,G, 60 months,MORTGAGE
24930,19.59,88104,24.82,4,30.41,Fully Paid,G, 60 months,MORTGAGE
1077,16.46,148303,27.79,4,51.03,Fully Paid,G, 60 months,MORTGAGE
21611,11.75,127634,16.46,2,95.79,Charged Off,D, 36 months,MORTGAGE
17984,24.77,134897,35.08,2,86.54,Fully Paid,D, 60 months,OWN
15060,5.5,78408,16.91,0,23.07,Fully Paid,E, 36 months,MORTGAGE
18449,10.05,57679,16.41,3,12.68,Fully Paid,F, 36 months,RENT
19520,15.4,136908,1.93,0,94.02,Charged Off,C, 60 months,OWN
10510,15.44,134921,22.27,0,57.41,Fully Paid,D, 36 months,RENT
30287,16.78,119096,28.49,2,58.41,Fully Paid,C, 36 months,MORTGAGE
29173,20.03,99731,5.02,4,80.26,Charged Off,A, 36 months,RENT
12954,17.47,132205,12.56,2,38.32,Fully Paid,F, 36 months,MORTGAGE
8804,17.01,85131,31.36,2,53.37,Charged Off,B, 36 months,RENT
7565,6.07,84280,14.95,2,97.18,Fully Paid,C, 60 months,OWN
6984,12.53,35762,10.04,0,70.49,Fully Paid,G, 60 months,RENT
22526,9.64,137798,27.05,3,23.84,Fully Paid,F, 36 months,OWN
19574,10.31,136854,8.27,0,21.99,Fully Paid,A, 36 months,RENT
10184,16.09,126830,35.88,1,28.38,Fully Paid,F, 60 months,RENT
20096,8.99,78703,4.67,2,79.0,Charged Off,B, 60 months,OWN
3192,10.88,101434,28.41,2,36.58,Fully Paid,D, 60 months,OWN
12246,9.74,83079,20.23,1,11.92,Charged Off,D, 36 months,MORTGAGE
19381,23.97,41577,34.86,2,94.98,Fully Paid,G, 36 months,OWN
27727,23.89,21214,5.48,2,25.27,Fully Paid,D, 60 months,OWN
5018,17.2,106339,27.28,2,10.86,Fully Paid,E, 36 months,MORTGAGE
12302,23.49,68114,23.1,1,31.34,Fully Paid,E, 60 months,OWN
2970,20.72,109234,19.46,0,31.15,Fully Paid,E, 60 months,OWN
28202,16.8,83230,19.91,2,47.98,Charged Off,G, 36 months,RENT
32110,5.13,143163,29.02,3,92.84,Fully Paid,E, 60 months,MORTGAGE
18586,20.45,52980,37.54,1,89.13,Fully Paid,A, 60 months,MORTGAGE
25519,19.05,87194,4.1,4,51.12,Fully Paid,G, 60 months,RENT
32273,17.31,97806,1.27,1,46.98,Fully Paid,F, 60 months,MORTGAGE
22951,20.21,132333,32.33,0,59.95,Fully Paid,A, 60 months,RENT
16374,15.26,57792,4.77,1,31.91,Fully Paid,D, 36 months,OWN
6788,19.08,65807,39.47,4,14.7,Fully Paid,B, 60 months,MORTGAGE
6408,23.7,144297,24.96,3,94.53,Charged Off,E, 36 months,OWN
26053,12.52,145266,26.21,4,26.8,Fully Paid,F, 36 months,MORTGAGE
10446,19.16,42301,8.36,1,27.86,Fully Paid,B, 60 months,OWN
1922,14.51,25141,9.99,4,52.52,Fully Paid,G, 60 months,MORTGAGE
34187,18.49,136482,26.54,1,54.25,Charged Off,G, 60 months,MORTGAGE
11789,20.26,124292,36.43,3,11.66,Fully Paid,A, 36 months,OWN
33184,5.91,142984,39.3,3,23.32,Fully Paid,E, 36 months,RENT
2120,17.93,33777,8.32,0,44.03,Fully Paid,G, 36 months,MORTGAGE
33154,9.53,58346,5.8,3,71.54,Charged Off,A, 60 months,RENT
18334,18.4,74703,2.73,2,30.56,Fully Paid,A, 60 months,RENT
3336,14.37,114977,34.8,4,48.07,Fully Paid,C, 60 months,RENT
3243,20.47,67819,12.14,4,60.16,Fully Paid,F, 60 months,RENT
20029,7.47,48469,0.57,1,89.97,Fully Paid,A, 60 months,RENT
33265,17.53,23845,9.34,3,39.35,Fully Paid,D, 36 months,RENT
24710,10.57,130186,13.95,0,22.02,Fully Paid,G, 36 months,MORTGAGE
30486,22.06,43290,39.64,0,54.03,Fully Paid,A, 36 months,RENT
7371,23.57,132551,21.18,0,77.2,Fully Paid,E, 60 months,MORTGAGE
7359,24.93,50699,8.59,2,19.89,Fully Paid,G, 60 months,MORTGAGE
21103,20.92,64252,13.73,3,48.22,Fully Paid,G, 36 months,MORTGAGE
15382,20.07,118682,13.55,0,11.6,Fully Paid,D, 60 months,OWN
19755,9.31,23293,1.28,2,13.02,Charged Off,A, 36 months,RENT
4756,11.72,138017,5.84,4,53.47,Fully Paid,D, 60 months,OWN
21609,14.31,139496,27.96,1,36.84,Charged Off,A, 60 months,RENT
17478,20.47,129934,5.25,3,86.06,Fully Paid,F, 60 months,OWN
11147,23.3,77089,9.61,3,64.19,Charged Off,D, 60 months,MORTGAGE
34561,8.78,131964,14.35,4,50.85,Fully Paid,B, 36 months,OWN
6779,23.45,36608,30.43,3,46.71,Fully Paid,C, 60 months,MORTGAGE
13298,18.91,148713,23.5,3,54.75,Fully Paid,D, 36 months,OWN
15153,17.22,86273,27.72,3,13.64,Fully Paid,E, 36 months,RENT
11789,9.0,36619,22.9,3,90.35,Fully Paid,C, 36 months,RENT
13999,6.11,98006,27.5,2,99.85,Fully Paid,C, 36 months,OWN
1814,16.37,135399,0.61,2,26.33,Fully Paid,A, 36 months,OWN
11541,18.03,107908,37.27,1,20.83,Fully Paid,D, 60 months,RENT
25938,9.22,101653,4.88,3,22.92,Fully Paid,F, 36 months,OWN
3443,16.13,34779,16.55,4,69.49,Fully Paid,G, 36 months,OWN
11457,22.13,71040,30.96,0,69.53,Fully Paid,C, 36 months,RENT
11380,21.7,114830,17.69,1,86.31,Fully Paid,E, 36 months,MORTGAGE
8783,23.55,76325,37.9,0,77.66,Charged Off,F, 36 months,RENT
18368,12.32,135947,18.97,0,50.47,Fully Paid,F, 60 months,RENT
16328,11.36,41630,35.06,3,65.16,Fully Paid,E, 36 months,OWN
27215,19.99,125575,32.53,4,71.95,Charged Off,G, 60 months,RENT
34595,13.62,135436,39.25,0,56.15,Fully Paid,E, 36 months,RENT
28306,6.75,32178,37.1,0,52.81,Fully Paid,A, 60 months,OWN
20915,10.66,39935,35.98,1,68.06,Charged Off,B, 60 months,OWN
16343,13.37,67258,29.4,4,60.17,Fully Paid,G, 60 months,MORTGAGE
1126,10.85,42784,15.0,4,67.95,Fully Paid,D, 60 months,RENT
28632,11.64,83722,4.69,0,65.16,Charged Off,C, 60 months,MORTGAGE
21530,10.88,43027,27.7,4,74.73,Charged Off,D, 60 months,MORTGAGE
4368,5.83,116544,39.16,1,67.85,Fully Paid,F, 60 months,MORTGAGE
4797,17.74,77853,29.2,1,56.78,Fully Paid,C, 36 months,MORTGAGE
14718,16.95,132167,37.18,1,71.36,Fully Paid,G, 60 months,RENT
12053,18.07,87359,32.27,3,50.45,Fully Paid,A, 36 months,RENT
23116,8.85,92388,6.94,0,31.75,Fully Paid,D, 36 months,RENT
2645,10.91,98608,10.34,4,10.13,Fully Paid,A, 36 months,MORTGAGE
20256,17.39,96669,14.0,1,60.4,Charged Off,A, 60 months,OWN
3708,16.99,35111,7.15,0,63.16,Charged Off,G, 36 months,RENT
12694,15.13,52312,23.48,0,97.48,Fully Paid,D, 60 months,MORTGAGE
10524,12.01,149321,39.03,3,42.53,Fully Paid,D, 60 months,MORTGAGE
32880,23.26,44161,30.58,4,45.47,Fully Paid,G, 60 months,MORTGAGE
33409,11.8,138920,17.22,4,28.16,Fully Paid,G, 36 months,MORTGAGE
14224,14.11,124823,0.68,1,16.35,Fully Paid,C, 36 months,MORTGAGE
26150,18.56,145014,12.87,1,79.55,Charged Off,F, 60 months,MORTGAGE
8973,15.86,87313,21.31,0,32.47,Fully Paid,F, 60 months,RENT
9577,11.94,70374,13.31,4,64.8,Charged Off,G, 60 months,OWN
9070,13.71,44014,4.89,4,71.9,Fully Paid,E, 60 months,RENT
9666,20.89,100308,17.99,1,52.41,Fully Paid,A, 36 months,RENT
7783,10.56,66389,10.5,2,88.87,Fully Paid,F, 36 months,MORTGAGE
5971,7.85,130163,36.41,0,49.94,Fully Paid,B, 36 months,RENT
14490,11.26,38161,4.52,4,35.64,Charged Off,G, 36 months,OWN
2990,21.99,127800,2.44,3,90.64,Fully Paid,G, 36 months,OWN
6299,6.78,27490,0.71,3,87.54,Fully Paid,C, 60 months,MORTGAGE
20956,24.83,139547,13.46,2,24.76,Fully Paid,G, 60 months,OWN
23359,15.82,127197,26.59,1,12.34,Fully Paid,C, 36 months,MORTGAGE
29734,24.7,44502,29.35,1,18.1,Charged Off,E, 60 months,OWN
5757,23.78,55757,18.4,1,35.79,Fully Paid,E, 36 months,OWN
20097,14.06,61111,27.53,3,97.5,Fully Paid,G, 60 months,RENT
11395,8.97,118273,14.72,1,60.27,Fully Paid,A, 60 months,OWN
17241,8.3,103245,26.88,3,43.59,Fully Paid,C, 60 months,MORTGAGE
28696,9.8,78645,2.1,2,89.98,Fully Paid,C, 36 months,OWN
5944,19.2,130218,15.93,0,50.78,Fully Paid,B, 36 months,OWN
20816,10.46,79055,31.74,4,38.37,Fully Paid,A, 36 months,RENT
25917,11.83,139815,32.22,2,94.71,Charged Off,A, 60 months,MORTGAGE
32195,13.98,28998,28.79,3,86.46,Fully Paid,F, 60 months,MORTGAGE
22566,23.26,48906,8.57,2,85.93,Fully Paid,E, 60 months,MORTGAGE
10916,8.79,121026,10.26,4,56.11,Charged Off,F, 60 months,RENT
21806,5.1,90192,39.85,0,81.05,Fully Paid,A, 60 months,OWN
10984,6.2,70477,4.58,4,26.14,Fully Paid,G, 36 months,MORTGAGE
2759,23.1,56901,7.64,3,61.59,Fully Paid,B, 36 months,OWN
27838,17.95,111271,5.64,4,98.55,Fully Paid,G, 60 months,OWN
3482,10.46,72021,13.44,2,36.19,Fully Paid,G, 36 months,OWN
25442,8.54,49092,8.8,1,81.49,Fully Paid,A, 60 months,RENT
34719,10.89,21242,20.16,2,54.14,Fully Paid,F, 60 months,OWN
28965,7.3,126843,19.3,3,13.58,Fully Paid,D, 36 months,RENT
3079,23.83,21831,36.11,0,78.67,Charged Off,G, 60 months,RENT
3717,20.68,70721,1.87,4,25.17,Fully Paid,G, 36 months,RENT
28952,14.25,48511,13.14,0,66.83,Charged Off,D, 36 months,MORTGAGE
21908,22.3,92782,24.07,3,17.71,Fully Paid,B, 36 months,RENT
25861,9.99,117003,24.39,4,95.22,Fully Paid,E, 60 months,MORTGAGE
8311,19.34,38302,19.46,2,36.26,Fully Paid,C, 36 months,RENT
29071,22.12,75568,32.72,2,30.38,Fully Paid,A, 60 months,RENT
24570,12.14,23232,2.98,3,21.62,Fully Paid,F, 60 months,RENT
19449,20.15,122062,32.71,4,95.14,Charged Off,E, 60 months,RENT
34536,10.9,124301,20.04,2,74.07,Fully Paid,F, 60 months,OWN
29865,10.98,71507,5.78,3,76.75,Fully Paid,E, 60 months,OWN
7645,7.14,144277,35.49,3,54.95,Fully Paid,A, 60 months,RENT
27737,13.8,149999,26.14,0,52.73,Fully Paid,C, 60 months,OWN
12485,19.59,96508,6.96,2,19.9,Fully Paid,A, 60 months,MORTGAGE
26522,23.8,133672,1.83,4,60.39,Charged Off,C, 36 months,OWN
13342,17.08,120128,6.07,2,32.22,Charged Off,F, 36 months,OWN
14087,22.26,30683,24.55,2,97.94,Fully Paid,B, 60 months,OWN
11093,21.45,43664,7.58,2,81.69,Fully Paid,C, 60 months,RENT
17438,8.47,122364,9.42,3,47.17,Fully Paid,E, 36 months,MORTGAGE
27399,14.72,140012,1.49,1,23.62,Fully Paid,B, 36 months,RENT
20846,7.34,53172,29.06,1,80.68,Fully Paid,F, 36 months,MORTGAGE
16708,18.64,103641,32.51,0,20.98,Charged Off,D, 36 months,RENT
11998,24.0,84340,31.98,2,27.04,Charged Off,B, 36 months,OWN
31678,7.74,107236,5.54,1,29.04,Charged Off,C, 36 months,MORTGAGE
11682,19.68,31017,36.18,0,60.12,Fully Paid,B, 60 months,OWN
9519,17.64,56613,27.06,3,80.84,Fully Paid,F, 36 months,MORTGAGE
32480,16.67,106130,35.95,2,38.29,Fully Paid,B, 36 months,MORTGAGE
20694,12.8,96920,18.16,4,17.62,Fully Paid,F, 36 months,RENT
4300,12.1,50348,17.76,3,51.81,Fully Paid,D, 36 months,RENT
7722,5.9,36448,31.49,0,77.33,Fully Paid,C, 60 months,OWN
25160,9.36,29491,4.19,3,29.95,Fully Paid,G, 60 months,OWN
21059,5.3,98648,21.07,4,29.79,Charged Off,E, 60 months,MORTGAGE
14575,16.63,141070,33.54,3,95.25,Fully Paid,B, 60 months,MORTGAGE
8970,7.12,116557,33.29,0,95.87,Charged Off,G, 60 months,RENT
22591,22.46,78759,38.27,4,99.14,Fully Paid,A, 60 months,RENT
32821,15.46,64553,28.08,4,82.69,Fully Paid,E, 60 months,RENT
10503,18.99,20968,8.71,3,26.94,Charged Off,B, 60 months,RENT
19922,13.22,20368,1.3,4,29.08,Fully Paid,E, 36 months,RENT
13175,16.21,93960,19.44,3,40.62,Fully Paid,G, 36 months,MORTGAGE
22389,23.85,55010,20.79,2,38.63,Fully Paid,A, 60 months,MORTGAGE
1822,6.65,74154,9.99,4,96.09,Fully Paid,E, 60 months,OWN
18327,10.08,55851,5.43,3,81.02,Fully Paid,G, 60 months,MORTGAGE
7150,20.6,142761,23.66,2,75.16,Charged Off,E, 36 months,RENT
5425,6.97,45496,30.69,4,26.74,Charged Off,A, 60 months,MORTGAGE
17032,6.51,143568,39.73,2,91.86,Fully Paid,A, 60 months,MORTGAGE
3198,12.23,147152,30.45,4,84.51,Fully Paid,A, 60 months,MORTGAGE
21079,6.84,50936,31.85,0,24.73,Charged Off,D, 60 months,OWN
14859,16.7,98858,24.85,0,88.41,Fully Paid,F, 36 months,OWN
32419,9.53,87005,39.44,3,34.5,Fully Paid,F, 60 months,MORTGAGE
9705,22.91,57493,25.78,1,17.28,Charged Off,G, 36 months,MORTGAGE
24236,20.67,89795,34.48,0,69.11,Charged Off,A, 36 months,RENT
23419,18.99,56390,37.86,1,68.84,Charged Off,G, 60 months,OWN
20978,17.34,30292,37.23,2,18.54,Fully Paid,F, 36 months,RENT
16358,22.27,112377,15.57,2,38.7,Fully Paid,E, 60 months,RENT
30378,9.46,48365,3.61,1,99.35,Charged Off,A, 36 months,MORTGAGE
12382,22.46,37207,7.29,3,71.06,Fully Paid,B, 60 months,MORTGAGE
15596,20.79,121735,2.84,4,75.71,Charged Off,A, 36 months,MORTGAGE
34572,19.96,42912,4.66,1,29.16,Fully Paid,A, 36 months,RENT
14221,16.23,122455,7.79,1,17.09,Charged Off,F, 60 months,RENT
2279,9.92,122517,13.97,1,34.92,Fully Paid,G, 36 months,RENT
8083,13.47,100771,21.97,1,32.4,Fully Paid,C, 60 months,MORTGAGE
18771,20.87,76572,28.61,1,31.11,Fully Paid,E, 60 months,MORTGAGE
30975,5.64,127293,8.83,3,27.35,Fully Paid,F, 36 months,MORTGAGE
20063,20.64,119083,27.06,0,61.73,Fully Paid,G, 60 months,RENT
3106,9.8,133655,28.32,4,39.53,Fully Paid,G, 60 months,RENT
25557,7.89,129346,22.57,0,83.83,Charged Off,E, 60 months,OWN
21607,7.31,39276,36.19,1,26.56,Fully Paid,G, 60 months,MORTGAGE
29529,5.55,117459,4.88,0,51.82,Fully Paid,B, 36 months,RENT
28856,15.47,25534,7.5,3,11.23,Fully Paid,D, 36 months,OWN
3573,9.37,112005,17.43,2,53.35,Charged Off,C, 36 months,RENT
13808,24.79,121610,5.51,0,15.03,Fully Paid,B, 60 months,RENT
24752,16.49,55670,22.87,4,98.0,Fully Paid,B, 36 months,MORTGAGE
18685,7.76,82147,16.24,3,81.15,Charged Off,E, 36 months,OWN
12372,18.78,118099,11.74,2,54.11,Fully Paid,C, 36 months,RENT
9996,22.95,131695,7.21,3,17.79,Fully Paid,E, 60 months,OWN
17458,19.9,56486,13.75,1,63.32,Fully Paid,D, 36 months,OWN
32889,6.53,85557,24.51,2,78.29,Charged Off,G, 60 months,MORTGAGE
27665,22.92,54268,23.24,4,27.16,Fully Paid,E, 36 months,OWN
32653,20.88,127338,6.96,2,61.14,Charged Off,A, 36 months,MORTGAGE
27657,8.17,101335,5.43,4,83.28,Charged Off,E, 60 months,MORTGAGE
23180,6.04,46336,1.55,1,79.14,Fully Paid,G, 36 months,MORTGAGE
32896,16.15,23641,0.99,4,82.27,Fully Paid,A, 60 months,OWN
13875,8.12,107132,35.25,3,89.14,Fully Paid,B, 60 months,RENT
2622,21.69,52959,2.28,0,94.39,Fully Paid,D, 36 months,MORTGAGE
17725,12.17,33306,29.38,3,46.5,Fully Paid,G, 60 months,RENT
16646,23.26,66182,34.94,3,61.19,Charged Off,F, 60 months,OWN
18029,16.31,94123,4.37,2,81.16,Fully Paid,A, 60 months,RENT
30402,8.65,76326,17.73,1,72.74,Fully Paid,D, 60 months,RENT
5263,7.79,116895,38.51,0,99.6,Fully Paid,E, 36 months,MORTGAGE
31987,16.53,41498,33.45,4,11.23,Fully Paid,F, 60 months,MORTGAGE
9646,20.24,90198,19.84,2,41.96,Fully Paid,E, 60 months,MORTGAGE
28529,20.63,122630,30.62,1,35.29,Fully Paid,G, 36 months,OWN
12664,10.52,127369,33.42,0,33.61,Fully Paid,B, 36 months,RENT
25027,9.08,47197,14.25,3,30.03,Fully Paid,G, 36 months,OWN
30373,5.34,40719,35.74,1,73.82,Fully Paid,G, 60 months,OWN
21609,18.58,110201,19.08,1,17.63,Fully Paid,G, 60 months,OWN
20250,6.53,128775,21.35,1,76.74,Charged Off,E, 60 months,OWN
22172,13.42,45032,39.99,3,72.41,Charged Off,A, 60 months,MORTGAGE
12555,17.03,79624,33.81,4,32.57,Fully Paid,B, 36 months,RENT
22874,23.74,98177,14.79,2,32.76,Fully Paid,D, 36 months,MORTGAGE
14081,11.24,61964,0.91,4,66.6,Charged Off,B, 60 months,MORTGAGE
25063,10.0,50028,25.23,0,78.6,Fully Paid,D, 60 months,OWN
7819,18.08,131030,28.3,2,88.88,Fully Paid,C, 60 months,MORTGAGE
26712,17.38,74646,26.21,0,86.69,Fully Paid,A, 60 months,RENT
25762,11.64,101187,38.73,3,96.84,Fully Paid,A, 36 months,OWN
12046,23.56,28536,34.59,4,62.32,Fully Paid,D, 36 months,MORTGAGE
32463,21.9,137399,18.23,1,91.78,Fully Paid,E, 36 months,OWN
29769,9.48,76747,2.98,2,82.77,Charged Off,F, 36 months,RENT
24150,9.78,65712,19.3,1,90.52,Fully Paid,E, 60 months,OWN
3711,15.25,26273,27.73,0,11.05,Fully Paid,C, 36 months,MORTGAGE
5853,20.47,91820,24.5,1,96.93,Charged Off,D, 60 months,MORTGAGE
30077,5.88,145342,21.76,1,52.62,Charged Off,C, 36 months,RENT
24863,18.87,111228,19.02,3,81.84,Charged Off,D, 36 months,RENT
22792,17.96,94353,12.1,3,21.45,Charged Off,C, 60 months,OWN
9942,9.63,114491,11.46,4,45.63,Fully Paid,D, 36 months,MORTGAGE
2762,18.63,112091,20.26,0,34.43,Charged Off,A, 36 months,RENT
32987,23.8,105914,6.84,3,36.25,Fully Paid,C, 36 months,RENT
16850,5.94,70830,13.96,3,21.09,Fully Paid,C, 36 months,MORTGAGE
13112,11.39,126718,13.3,4,82.52,Fully Paid,D, 60 months,RENT
25058,13.76,37127,23.69,2,10.83,Fully Paid,B, 36 months,RENT
1481,22.99,135150,3.13,4,38.13,Charged Off,B, 36 months,MORTGAGE
33921,24.25,103488,33.27,1,25.7,Fully Paid,A, 36 months,RENT
2524,13.88,31539,22.71,1,63.01,Fully Paid,E, 60 months,MORTGAGE
16048,20.0,66761,27.0,3,32.88,Fully Paid,E, 60 months,MORTGAGE
1060,15.63,66219,28.27,3,33.31,Fully Paid,A, 36 months,OWN
10130,15.76,34692,12.01,4,53.95,Fully Paid,E, 36 months,MORTGAGE
19023,10.56,103656,19.08,4,68.74,Fully Paid,F, 36 months,RENT
14350,9.34,33334,38.27,0,20.92,Charged Off,F, 60 months,OWN
25354,10.76,48615,30.78,1,25.8,Fully Paid,F, 36 months,OWN
29145,16.13,27903,38.8,4,32.25,Fully Paid,G, 36 months,RENT
21587,5.58,48527,29.98,2,97.64,Fully Paid,G, 60 months,OWN
10650,23.14,35629,7.44,0,45.74,Fully Paid,F, 60 months,RENT
20933,8.13,141690,3.05,4,63.91,Fully Paid,D, 60 months,OWN
21581,9.4,78008,23.32,3,31.74,Fully Paid,B, 36 months,RENT
24393,15.37,103276,14.63,4,54.14,Fully Paid,A, 36 months,MORTGAGE
24051,19.2,119318,11.38,3,16.67,Fully Paid,D, 36 months,MORTGAGE
27212,6.91,46708,32.38,3,13.13,Fully Paid,F, 60 months,OWN
5090,11.35,30860,15.0,1,52.19,Fully Paid,A, 36 months,OWN
7960,24.37,37438,13.02,1,45.88,Fully Paid,B, 36 months,MORTGAGE
22520,10.25,87300,34.07,4,22.32,Fully Paid,E, 60 months,RENT
29470,11.26,149263,33.93,4,71.88,Fully Paid,D, 60 months,OWN
21491,21.73,91545,14.58,2,99.36,Charged Off,B, 36 months,MORTGAGE
2341,6.0,40842,33.38,0,45.61,Fully Paid,A, 60 months,OWN
25791,14.29,80213,34.11,0,66.21,Fully Paid,C, 36 months,MORTGAGE
1338,12.59,62372,17.25,4,96.67,Fully Paid,D, 36 months,MORTGAGE
6895,11.33,134316,3.13,1,84.84,Fully Paid,G, 36 months,MORTGAGE
13254,10.71,118971,0.56,2,51.72,Fully Paid,A, 60 months,RENT
12344,6.83,88906,21.17,0,76.37,Charged Off,A, 36 months,OWN
2750,11.3,58744,14.09,4,21.53,Charged Off,G, 60 months,RENT
3421,5.86,136082,39.89,1,56.09,Charged Off,B, 60 months,RENT
6319,20.62,77442,31.01,1,35.12,Charged Off,A, 60 months,MORTGAGE
16896,12.96,149070,30.57,1,24.5,Fully Paid,D, 60 months,RENT
12918,13.88,105990,38.23,3,48.37,Fully Paid,F, 36 months,OWN
26064,22.87,141670,35.57,1,21.79,Fully Paid,G, 60 months,OWN
28935,18.16,126917,13.07,4,72.91,Charged Off,D, 36 months,MORTGAGE
30711,5.16,123903,7.06,2,51.06,Fully Paid,G, 36 months,MORTGAGE
5806,23.86,23650,29.96,4,57.8,Fully Paid,A, 36 months,OWN
13182,9.74,65117,15.44,1,23.17,Fully Paid,B, 36 months,OWN
23297,7.15,111244,19.19,2,22.58,Charged Off,D, 60 months,MORTGAGE
20541,20.36,128198,25.4,0,62.51,Fully Paid,C, 60 months,RENT
29921,15.01,72772,36.36,0,98.65,Fully Paid,F, 36 months,OWN
17774,13.68,23190,17.05,4,18.66,Charged Off,G, 36 months,MORTGAGE
9820,9.99,68113,31.44,2,35.72,Fully Paid,E, 36 months,MORTGAGE
25070,15.95,28789,11.1,4,88.25,Charged Off,B, 60 months,OWN
5232,10.49,52125,28.07,2,16.5,Fully Paid,B, 60 months,MORTGAGE
12122,23.03,118695,0.56,2,88.83,Fully Paid,E, 36 months,OWN
16023,9.3,37459,34.92,4,57.19,Charged Off,E, 36 months,MORTGAGE
9007,22.69,55418,1.7,2,46.74,Fully Paid,D, 36 months,MORTGAGE
18905,16.19,131904,28.65,1,37.87,Fully Paid,A, 60 months,RENT
30398,21.57,67085,2.33,2,36.74,Fully Paid,A, 36 months,MORTGAGE
7737,19.26,38768,11.02,2,37.52,Fully Paid,C, 60 months,OWN
26510,18.93,69961,20.14,4,89.63,Fully Paid,F, 60 months,OWN
20426,11.49,101099,17.09,0,75.14,Fully Paid,G, 60 months,RENT
18850,9.68,142735,8.08,3,70.28,Fully Paid,A, 36 months,OWN
1614,9.22,47885,13.69,2,81.89,Charged Off,C, 60 months,MORTGAGE
22776,22.14,107421,29.24,3,33.14,Fully Paid,C, 60 months,RENT
25077,21.41,81082,26.94,2,65.62,Fully Paid,B, 36 months,OWN
10374,13.81,26895,3.34,4,51.41,Fully Paid,B, 36 months,MORTGAGE
31907,7.65,70311,30.02,4,80.42,Fully Paid,F, 36 months,RENT
14409,12.65,109494,2.6,2,37.83,Charged Off,D, 60 months,MORTGAGE
17514,17.39,87067,21.95,4,67.89,Fully Paid,E, 60 months,OWN
30866,14.09,91017,10.77,4,89.4,Charged Off,E, 36 months,OWN
3983,20.6,43932,23.71,2,46.19,Fully Paid,F, 60 months,OWN
32705,24.95,41360,10.82,0,16.0,Fully Paid,C, 36 months,OWN
21662,8.82,74847,39.41,2,56.44,Fully Paid,F, 36 months,RENT
24510,14.19,129178,12.73,0,41.14,Fully Paid,E, 60 months,OWN
13651,13.62,110365,10.06,4,70.5,Fully Paid,C, 60 months,RENT
29535,11.09,105468,11.5,0,95.59,Fully Paid,E, 60 months,RENT
7640,8.96,146065,35.91,4,53.7,Fully Paid,D, 60 months,MORTGAGE
16317,6.31,58931,25.63,0,51.96,Charged Off,B, 36 months,OWN
8564,22.74,75823,29.36,0,68.91,Fully Paid,B, 36 months,MORTGAGE
28345,13.4,58032,36.76,2,19.31,Fully Paid,C, 60 months,MORTGAGE
29687,14.94,135919,36.52,0,32.82,Fully Paid,F, 60 months,MORTGAGE
14737,23.34,101426,29.69,4,92.71,Fully Paid,E, 60 months,MORTGAGE
10323,20.53,38807,8.31,2,70.29,Charged Off,A, 36 months,MORTGAGE
16229,7.61,31767,33.81,0,11.21,Fully Paid,D, 36 months,OWN
9502,16.31,28071,8.55,2,28.42,Fully Paid,E, 60 months,MORTGAGE
1545,13.85,73413,29.84,3,71.46,Fully Paid,G, 36 months,RENT
30430,20.94,46149,27.58,2,78.8,Fully Paid,A, 36 months,RENT
10996,19.48,35540,30.48,3,85.59,Fully Paid,D, 36 months,OWN
28788,18.81,121212,21.54,3,36.3,Fully Paid,D, 36 months,RENT
30969,11.81,90248,25.73,2,93.79,Charged Off,B, 60 months,MORTGAGE
14919,21.1,141443,38.16,4,59.77,Fully Paid,C, 60 months,RENT
4810,6.05,111737,4.49,4,72.69,Fully Paid,E, 60 months,MORTGAGE
31586,8.19,130494,12.7,4,63.71,Fully Paid,D, 60 months,OWN
17371,11.71,138571,24.65,1,21.05,Fully Paid,E, 36 months,RENT
30629,6.54,105435,38.58,3,96.68,Charged Off,D, 60 months,RENT
9436,9.7,39787,4.28,2,21.06,Charged Off,F, 60 months,RENT
13984,21.6,40982,1.39,4,32.94,Fully Paid,B, 60 months,OWN
34039,23.97,139696,2.7,4,83.23,Fully Paid,C, 60 months,OWN
